,Truck Type,State,Fuel Type,Cost
572,multiaxle_monthly,Mizoram,Petrol,95.73
573,multiaxle_monthly,Odisha,Diesel,95.15
574,multiaxle_monthly,Odisha,Electric,6.25
575,multiaxle_monthly,Odisha,Petrol,103.59
576,multiaxle_monthly,Punjab,Diesel,87.79
577,multiaxle_monthly,Punjab,Electric,5.75
578,multiaxle_monthly,Punjab,Petrol,97.44
579,multiaxle_monthly,Rajasthan,Diesel,94.55
580,multiaxle_monthly,Rajasthan,Electric,6.5
581,multiaxle_monthly,Rajasthan,Petrol,109.4
582,multiaxle_monthly,TamilNadu,Diesel,95.17
583,multiaxle_monthly,TamilNadu,Electric,5.75
584,multiaxle_monthly,TamilNadu,Petrol,103.56
585,multiaxle_monthly,UttarPradesh,Diesel,90.13
586,multiaxle_monthly,UttarPradesh,Electric,6.5
587,multiaxle_monthly,UttarPradesh,Petrol,96.99
588,multiaxle_monthly,Uttarakhand,Diesel,89.94
589,multiaxle_monthly,Uttarakhand,Electric,5.5
590,multiaxle_monthly,Uttarakhand,Petrol,94.86
591,multiaxle_monthly,WestBengal,Diesel,92.75
592,multiaxle_monthly,WestBengal,Electric,7.0
593,multiaxle_monthly,WestBengal,Petrol,106.01
594,multiaxle_multi,AndraPradesh,Diesel,99.11
595,multiaxle_multi,AndraPradesh,Electric,6.5
596,multiaxle_multi,AndraPradesh,Petrol,111.22
597,multiaxle_multi,Manipur,Diesel,89.06
598,multiaxle_multi,Manipur,Electric,6.0
599,multiaxle_multi,Manipur,Petrol,97.54
600,multiaxle_multi,Bihar,Diesel,94.67
601,multiaxle_multi,Bihar,Electric,6.75
602,multiaxle_multi,Bihar,Petrol,107.94
603,multiaxle_multi,Chandigarh,Diesel,84.26
604,multiaxle_multi,Chandigarh,Electric,5.5
605,multiaxle_multi,Chandigarh,Petrol,96.2
606,multiaxle_multi,Chhattisgarh,Diesel,95.59
607,multiaxle_multi,Chhattisgarh,Electric,5.5
608,multiaxle_multi,Chhattisgarh,Petrol,102.6
609,multiaxle_multi,Chattisgarh,Diesel,92.7
610,multiaxle_multi,Chattisgarh,Electric,6.0
611,multiaxle_multi,Chattisgarh,Petrol,96.94
612,multiaxle_multi,Haryana,Diesel,90.05
613,multiaxle_multi,Haryana,Electric,6.25
614,multiaxle_multi,Haryana,Petrol,97.2
615,multiaxle_multi,HimachalPradesh,Diesel,86.3
616,multiaxle_multi,HimachalPradesh,Electric,4.75
617,multiaxle_multi,HimachalPradesh,Petrol,97.24
618,multiaxle_multi,Jammu&Kashmir,Diesel,85.43
619,multiaxle_multi,Jammu&Kashmir,Electric,7.75
620,multiaxle_multi,Jammu&Kashmir,Petrol,100.13
621,multiaxle_multi,Jharkhand,Diesel,94.73
622,multiaxle_multi,Jharkhand,Electric,6.5
623,multiaxle_multi,Jharkhand,Petrol,99.92
624,multiaxle_multi,Karnataka,Diesel,89.03
625,multiaxle_multi,Karnataka,Electric,7.0
626,multiaxle_multi,Karnataka,Petrol,102.7
627,multiaxle_multi,Telangana,Diesel,97.7
628,multiaxle_multi,Telangana,Electric,5.5
629,multiaxle_multi,Telangana,Petrol,108.84
630,multiaxle_multi,MadhyaPradesh,Diesel,94.56
631,multiaxle_multi,MadhyaPradesh,Electric,6.25
632,multiaxle_multi,MadhyaPradesh,Petrol,109.36
633,multiaxle_multi,Maharastra,Diesel,93.45
634,multiaxle_multi,Maharastra,Electric,7.5
635,multiaxle_multi,Maharastra,Petrol,106.87
636,multiaxle_multi,Mizoram,Diesel,82.18
637,multiaxle_multi,Mizoram,Electric,5.25
638,multiaxle_multi,Mizoram,Petrol,95.73
639,multiaxle_multi,Odisha,Diesel,95.15
640,multiaxle_multi,Odisha,Electric,6.25
641,multiaxle_multi,Odisha,Petrol,103.59
642,multiaxle_multi,Punjab,Diesel,87.79
643,multiaxle_multi,Punjab,Electric,5.75
644,multiaxle_multi,Punjab,Petrol,97.44
645,multiaxle_multi,Rajasthan,Diesel,94.55
646,multiaxle_multi,Rajasthan,Electric,6.5
647,multiaxle_multi,Rajasthan,Petrol,109.4
648,multiaxle_multi,TamilNadu,Diesel,95.17
649,multiaxle_multi,TamilNadu,Electric,5.75
650,multiaxle_multi,TamilNadu,Petrol,103.56
651,multiaxle_multi,UttarPradesh,Diesel,90.13
652,multiaxle_multi,UttarPradesh,Electric,6.5
653,multiaxle_multi,UttarPradesh,Petrol,96.99
654,multiaxle_multi,Uttarakhand,Diesel,89.94
655,multiaxle_multi,Uttarakhand,Electric,5.5
656,multiaxle_multi,Uttarakhand,Petrol,94.86
657,multiaxle_multi,WestBengal,Diesel,92.75
